Date,Satellite,Sensor,Time,File Name
2017/03/01,S3A,SL_2_LST,19:23,S3A_SL_2_LST____20170301T192310_20170301T210409_20180929T212549_6059_015_042______LR1_R_NT_003.SEN3
2017/03/12,S3A,SL_2_LST,19:38,S3A_SL_2_LST____20170312T193807_20170312T211907_20180929T214659_6059_015_199______LR1_R_NT_003.SEN3
2017/03/20,S3A,SL_2_LST,19:30,S3A_SL_2_LST____20170320T193039_20170320T211138_20180929T220121_6059_015_313______LR1_R_NT_003.SEN3
2017/03/24,S3A,SL_2_LST,19:26,S3A_SL_2_LST____20170324T192654_20170324T210753_20180929T220914_6059_015_370______LR1_R_NT_003.SEN3
2017/03/29,S3A,SL_2_LST,18:56,S3A_SL_2_LST____20170329T185659_20170329T203758_20180929T221903_6059_016_056______LR1_R_NT_003.SEN3
2017/04/05,S3A,SL_2_LST,19:15,S3A_SL_2_LST____20170405T191541_20170405T205640_20180929T223135_6059_016_156______LR1_R_NT_003.SEN3
2017/04/13,S3A,SL_2_LST,19:08,S3A_SL_2_LST____20170413T190812_20170413T204911_20180929T224657_6059_016_270______LR1_R_NT_003.SEN3
2017/04/21,S3A,SL_2_LST,19:00,S3A_SL_2_LST____20170421T190043_20170421T204143_20180929T230240_6059_016_384______LR1_R_NT_003.SEN3
2017/04/25,S3A,SL_2_LST,18:56,S3A_SL_2_LST____20170425T185659_20170425T203758_20180929T230933_6059_017_056______LR1_R_NT_003.SEN3
2017/05/02,S3A,SL_2_LST,19:15,S3A_SL_2_LST____20170502T191541_20170502T205640_20180929T232259_6059_017_156______LR1_R_NT_003.SEN3
2017/05/10,S3A,SL_2_LST,19:08,S3A_SL_2_LST____20170510T190812_20170510T204911_20180929T233725_6059_017_270______LR1_R_NT_003.SEN3
2017/05/21,S3A,SL_2_LST,19:23,S3A_SL_2_LST____20170521T192310_20170521T210409_20180929T235841_6059_018_042______LR1_R_NT_003.SEN3
2018/03/06,S3A,SL_2_LST,19:30,S3A_SL_2_LST____20180306T193039_20180306T211138_20180930T090826_6059_028_313______LR1_R_NT_003.SEN3
2018/03/14,S3A,SL_2_LST,19:23,S3A_SL_2_LST____20180314T192310_20180314T210409_20180930T092315_6059_029_042______LR1_R_NT_003.SEN3
2018/03/21,S3A,SL_2_LST,19:41,S3A_SL_2_LST____20180321T194152_20180321T212251_20180930T093634_6059_029_142______LR1_R_NT_003.SEN3
2018/03/26,S3A,SL_2_LST,19:11,S3A_SL_2_LST____20180326T191157_20180326T205256_20180930T094520_6059_029_213______LR1_R_NT_003.SEN3
2018/04/06,S3A,SL_2_LST,09:21,S3A_SL_2_LST____20180406T092105_20180406T110205_20180407T165017_6059_029_364______LN2_O_NT_003.SEN3
2018/04/10,S3A,SL_2_LST,19:23,S3A_SL_2_LST____20180410T192317_20180410T210416_20180412T014958_6059_030_042______LN2_O_NT_003.SEN3
2018/04/19,S3A,SL_2_LST,08:43,S3A_SL_2_LST____20180419T084343_20180419T102442_20180420T154453_6059_030_164______LN2_O_NT_003.SEN3
2018/05/04,S3A,SL_2_LST,19:00,S3A_SL_2_LST____20180504T190052_20180504T204151_20180506T023211_6059_030_384______LN2_O_NT_003.SEN3
2018/05/11,S3A,SL_2_LST,09:13,S3A_SL_2_LST____20180511T091339_20180511T105438_20180512T160341_6059_031_093______LN2_O_NT_003.SEN3
2018/05/23,S3A,SL_2_LST,19:08,S3A_SL_2_LST____20180523T190820_20180523T204919_20180525T030656_6059_031_270______LN2_O_NT_003.SEN3
2018/05/30,S3B,SL_2_LST,20:50,S3B_SL_2_LST____20180530T205033_20180530T205333_20200903T170318_0179_050_428_0540_LR1_R_NT_004.SEN3
2019/03/06,S3B,SL_2_LST,20:53,S3B_SL_2_LST____20190306T205327_20190306T205627_20200819T154843_0179_022_371_0540_LR1_R_NT_004.SEN3
2019/03/14,S3B,SL_2_LST,20:46,S3B_SL_2_LST____20190314T204600_20190314T204900_20200819T172719_0180_023_100_0540_LR1_R_NT_004.SEN3
2019/03/17,S3B,SL_2_LST,21:08,S3B_SL_2_LST____20190317T210827_20190317T211127_20200819T180459_0179_023_143_0540_LR1_R_NT_004.SEN3
2019/03/25,S3B,SL_2_LST,21:00,S3B_SL_2_LST____20190325T210058_20190325T210358_20200819T194536_0179_023_257_0540_LR1_R_NT_004.SEN3
2019/03/29,S3B,SL_2_LST,20:57,S3B_SL_2_LST____20190329T205714_20190329T210014_20200819T203207_0179_023_314_0540_LR1_R_NT_004.SEN3
2019/04/06,S3B,SL_2_LST,20:49,S3B_SL_2_LST____20190406T204946_20190406T205246_20200819T215806_0179_024_043_0540_LR1_R_NT_004.SEN3
2019/04/09,S3B,SL_2_LST,21:12,S3B_SL_2_LST____20190409T211212_20190409T211512_20200819T223444_0179_024_086_0540_LR1_R_NT_004.SEN3
2019/04/17,S3B,SL_2_LST,21:04,S3B_SL_2_LST____20190417T210444_20190417T210744_20200819T234532_0179_024_200_0540_LR1_R_NT_004.SEN3
2019/04/25,S3B,SL_2_LST,20:57,S3B_SL_2_LST____20190425T205714_20190425T210014_20200820T011022_0179_024_314_0540_LR1_R_NT_004.SEN3
2019/04/27,S3B,SL_2_LST,08:47,S3B_SL_2_LST____20190427T084758_20190427T085058_20200823T121433_0179_024_335_2340_LR1_R_NT_004.SEN3
2019/04/29,S3B,SL_2_LST,20:53,S3B_SL_2_LST____20190429T205330_20190429T205630_20200820T014619_0180_024_371_0540_LR1_R_NT_004.SEN3
2019/05/07,S3B,SL_2_LST,20:46,S3B_SL_2_LST____20190507T204600_20190507T204900_20200820T031516_0179_025_100_0540_LR1_R_NT_004.SEN3
2019/05/14,S3B,SL_2_LST,21:04,S3B_SL_2_LST____20190514T210441_20190514T210741_20200820T044140_0179_025_200_0540_LR1_R_NT_004.SEN3
2019/05/15,S3B,SL_2_LST,20:38,S3B_SL_2_LST____20190515T203830_20190515T204130_20200820T045331_0179_025_214_0540_LR1_R_NT_004.SEN3
2019/05/23,S3B,SL_2_LST,20:31,S3B_SL_2_LST____20190523T203100_20190523T203400_20200820T063333_0179_025_328_0540_LR1_R_NT_004.SEN3
2019/05/30,S3B,SL_2_LST,20:49,S3B_SL_2_LST____20190530T204940_20190530T205240_20200820T075336_0179_026_043_0540_LR1_R_NT_004.SEN3
2020/03/05,S3A,SL_2_LST,19:04,S3A_SL_2_LST____20200305T190437_20200305T204536_20200307T023345_6059_055_327______LN2_O_NT_004.SEN3
2020/03/20,S3A,SL_2_LST,19:15,S3A_SL_2_LST____20200320T191552_20200320T205651_20200322T014212_6059_056_156______LN2_O_NT_004.SEN3
2020/03/28,S3A,SL_2_LST,19:08,S3A_SL_2_LST____20200328T190825_20200328T204924_20200330T014154_6059_056_270______LN2_O_NT_004.SEN3
2020/03/31,S3A,SL_2_LST,19:30,S3A_SL_2_LST____20200331T193052_20200331T211151_20200402T035104_6059_056_313______LN2_O_NT_004.SEN3
2020/03/11,S3B,SL_2_LST,19:10,S3B_SL_2_LST____20200311T191000_20200311T205059_20200313T023017_6059_036_270______LN2_O_NT_004.SEN3
2020/04/12,S3A,SL_2_LST,19:19,S3A_SL_2_LST____20200412T191941_20200412T210040_20200414T030146_6059_057_099______LN2_O_NT_004.SEN3
2020/04/20,S3A,SL_2_LST,19:12,S3A_SL_2_LST____20200420T191213_20200420T204623_20200422T005648_5649_057_213______LN2_O_NT_004.SEN3
2020/04/28,S3A,SL_2_LST,19:04,S3A_SL_2_LST____20200428T190445_20200428T204544_20200430T015843_6059_057_327______LN2_O_NT_004.SEN3
2020/04/07,S3B,SL_2_LST,19:10,S3B_SL_2_LST____20200407T191000_20200407T205059_20200409T024956_6059_037_270______LN2_O_NT_004.SEN3
2020/04/29,S3B,SL_2_LST,19:39,S3B_SL_2_LST____20200429T193959_20200429T212059_20200501T030340_6059_038_199______LN2_O_NT_004.SEN3
2020/05/05,S3A,SL_2_LST,20:48,S3A_SL_2_LST____20200505T204811_20200505T205111_20200507T004438_0179_058_043_0540_LN2_O_NT_004.SEN3
2020/05/28,S3A,SL_2_LST,20:51,S3A_SL_2_LST____20200528T205156_20200528T205456_20200530T021649_0179_058_371_0540_LN2_O_NT_004.SEN3
2020/05/11,S3B,SL_2_LST,20:53,S3B_SL_2_LST____20200511T205332_20200511T205632_20200513T012428_0179_038_371_0540_LN2_O_NT_004.SEN3
2020/05/19,S3B,SL_2_LST,20:46,S3B_SL_2_LST____20200519T204603_20200519T204903_20200521T010634_0179_039_100_0540_LN2_O_NT_004.SEN3
2020/05/30,S3B,SL_2_LST,21:01,S3B_SL_2_LST____20200530T210102_20200530T210402_20200601T022358_0180_039_257_0540_LN2_O_NT_004.SEN3
2021/03/01,S3A,SL_2_LST,21:10,S3A_SL_2_LST____20210301T211036_20210301T211336_20210303T054822_0179_069_086_0540_LN2_O_NT_004.SEN3
2021/03/29,S3A,SL_2_LST,20:44,S3A_SL_2_LST____20210329T204426_20210329T204726_20210331T051356_0179_070_100_0540_LN2_O_NT_004.SEN3
2021/03/08,S3B,SL_2_LST,20:49,S3B_SL_2_LST____20210308T204952_20210308T205252_20210310T060614_0179_050_043_0540_LN2_O_NT_004.SEN3
2021/03/15,S3B,SL_2_LST,21:08,S3B_SL_2_LST____20210315T210834_20210315T211134_20210317T054030_0179_050_143_0540_LN2_O_NT_004.SEN3
2021/03/23,S3B,SL_2_LST,21:01,S3B_SL_2_LST____20210323T210106_20210323T210406_20210325T065003_0179_050_257_0540_LN2_O_NT_004.SEN3
2021/04/01,S3A,SL_2_LST,21:06,S3A_SL_2_LST____20210401T210653_20210401T210953_20210403T075734_0179_070_143_0540_LN2_O_NT_004.SEN3
2021/04/08,S3B,SL_2_LST,20:46,S3B_SL_2_LST____20210408T204606_20210408T204906_20210410T074553_0179_051_100_0540_LN2_O_NT_004.SEN3
2021/04/16,S3B,SL_2_LST,20:38,S3B_SL_2_LST____20210416T203837_20210416T204137_20210418T082246_0179_051_214_0540_LN2_O_NT_004.SEN3
2021/04/23,S3B,SL_2_LST,20:57,S3B_SL_2_LST____20210423T205721_20210423T210021_20210425T080712_0179_051_314_0540_LN2_O_NT_004.SEN3
2021/05/07,S3A,SL_2_LST,20:33,S3A_SL_2_LST____20210507T203318_20210507T203618_20210509T091125_0179_071_271_0540_LN2_O_NT_004.SEN3
2021/05/25,S3A,SL_2_LST,21:06,S3A_SL_2_LST____20210525T210657_20210525T210957_20210527T083633_0179_072_143_0540_LN2_O_NT_004.SEN3
2021/05/30,S3A,SL_2_LST,20:37,S3A_SL_2_LST____20210530T203702_20210530T204002_20210601T074726_0180_072_214_0540_LN2_O_NT_004.SEN3
2021/05/09,S3B,SL_2_LST,20:42,S3B_SL_2_LST____20210509T204225_20210509T204525_20210511T072918_0179_052_157_0540_LN2_O_NT_004.SEN3
2021/05/17,S3B,SL_2_LST,20:34,S3B_SL_2_LST____20210517T203457_20210517T203757_20210519T082304_0179_052_271_0540_LN2_O_NT_004.SEN3
